userId,movieId,rating,timestamp,title
1,1371,2.5,1260759135,Rocky III
1,2105,4,1260759139,American Pie
1,2294,2,1260759108,Jay and Silent Bob Strike Back
2,62,3,835355749,2001: A Space Odyssey
2,153,4,835355441,Lost in Translation
2,161,3,835355493,Ocean's Eleven
2,165,3,835355441,Back to the Future Part II
2,168,3,835355710,Star Trek IV: The Voyage Home
2,185,3,835355511,A Clockwork Orange
2,186,3,835355664,Lucky Number Slevin
2,235,3,835355664,Stand by Me
2,253,4,835355511,Live and Let Die
2,272,3,835355767,Batman Begins
2,296,4,835355395,Terminator 3: Rise of the Machines
2,314,4,835356044,Catwoman
2,319,1,835355918,True Romance
2,350,4,835355697,The Devil Wears Prada
2,364,3,835355604,Batman Returns
2,377,3,835355710,A Nightmare on Elm Street
2,454,4,835355604,Romeo + Juliet
2,497,3,835355880,The Green Mile
2,500,4,835355731,Reservoir Dogs
2,508,4,835355860,Love Actually
2,509,4,835355719,Notting Hill
2,539,3,835355767,Psycho
2,550,3,835356109,Fight Club
2,585,5,835355817,"Monsters, Inc."
2,587,3,835355779,Big Fish
2,588,3,835355441,Silent Hill
2,590,5,835355395,The Hours
2,616,3,835355932,The Last Samurai
3,296,4.5,1298862418,Terminator 3: Rise of the Machines
3,377,2.5,1298923242,A Nightmare on Elm Street
3,588,3,1298922100,Silent Hill
3,595,2,1298923260,To Kill a Mockingbird
3,866,3,1298861687,Finding Neverland
3,1271,3,1298861605,300
3,1580,3.5,1298922089,Rope
4,141,5,949919681,Donnie Darko
4,153,4,949811346,Lost in Translation
4,185,3,949920047,A Clockwork Orange
4,289,4,949778802,Casablanca
4,296,5,949895708,Terminator 3: Rise of the Machines
4,329,3,949810618,Jurassic Park
4,364,5,949949538,Batman Returns
4,380,3,949810534,Rain Man
4,431,3,949895772,Cube
4,435,1,949920135,The Day After Tomorrow
4,440,4,949919802,Aliens vs Predator: Requiem
4,588,5,949949486,Silent Hill
4,590,3,949810534,The Hours
4,594,5,949949538,The Terminal
4,616,5,949949444,The Last Samurai
4,858,5,949779022,Sleepless in Seattle
4,903,5,949919189,Cool Hand Luke
4,1089,5,949895732,Point Break
4,1213,5,949895708,The Talented Mr. Ripley
4,1265,5,949919591,Bridge to Terabithia
4,1278,5,949919372,The Dreamers
4,1371,4,949810302,Rocky III
4,1372,3,949920004,Blood Diamond
4,1374,4,949918787,Rocky IV
4,1580,5,949919978,Rope
4,1858,5,949919738,Transformers
4,1954,5,949810261,The Butterfly Effect
4,2005,5,949896070,Sister Act
4,2018,5,949778771,The Wedding Planner
4,2034,4,949896183,Training Day
4,2080,5,949919306,X-Men Origins: Wolverine
4,2105,4,949896114,American Pie
4,2109,5,949919399,Rush Hour
4,2114,5,949918927,Final Fantasy: The Spirits Within
4,2268,5,949895772,The Golden Compass
4,2289,5,949919556,Cold Mountain
4,2454,5,949982274,The Chronicles of Narnia: Prince Caspian
4,2640,5,949810261,Heathers
4,2770,1,949896521,American Pie 2
4,3034,5,949949444,Young Frankenstein
5,104,4,1163374639,Run Lola Run
5,141,4,1163374242,Donnie Darko
5,231,3.5,1163373762,Syriana
5,277,4.5,1163373208,Underworld
5,364,4,1163373752,Batman Returns
5,377,4,1163373610,A Nightmare on Elm Street
5,440,4,1163374477,Aliens vs Predator: Requiem
5,500,4.5,1163373718,Reservoir Dogs
